time,temperature_2m_max,temperature_2m_min,apparent_temperature_max,apparent_temperature_min,sunrise,sunset,shortwave_radiation_sum,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,windspeed_10m_max,windgusts_10m_max,winddirection_10m_dominant,et0_fao_evapotranspiration
['2022-11-04'],[11.5],[7.0],[10.0],[4.5],['2022-11-04T07:36'],['2022-11-04T17:08'],[2.71],[4.0],[4.0],[0.0],[12.0],[19.3],[34.6],[207],[0.43]
['2022-11-03'],[14.7],[11.3],[11.5],[7.7],['2022-11-03T07:34'],['2022-11-03T17:09'],[3.31],[6.9],[6.9],[0.0],[10.0],[25.8],[47.9],[263],[1.28]
['2022-11-08'],[15.1],[11.0],[11.6],[7.2],['2022-11-08T07:43'],['2022-11-08T17:01'],[3.45],[0.4],[0.4],[0.0],[2.0],[25.1],[49.0],[262],[1.36]
['2022-11-09'],[14.5],[10.3],[11.2],[7.2],['2022-11-09T07:45'],['2022-11-09T16:59'],[5.44],[0.3],[0.3],[0.0],[2.0],[29.5],[58.3],[230],[1.37]
['2022-11-18'],[10.5],[7.5],[7.9],[4.8],['2022-11-18T08:00'],['2022-11-18T16:47'],[3.1],[6.0],[6.0],[0.0],[12.0],[15.9],[27.0],[261],[0.46]
['2022-11-16'],[12.3],[9.2],[9.5],[5.7],['2022-11-16T07:57'],['2022-11-16T16:49'],[4.8],[10.1],[10.1],[0.0],[16.0],[25.3],[47.2],[284],[0.71]
['2022-11-17'],[11.5],[9.0],[7.6],[5.2],['2022-11-17T07:59'],['2022-11-17T16:48'],[1.69],[13.4],[13.4],[0.0],[17.0],[32.2],[63.0],[275],[0.73]
['2022-11-15'],[12.4],[6.5],[9.6],[3.8],['2022-11-15T07:55'],['2022-11-15T16:51'],[2.19],[5.9],[5.9],[0.0],[14.0],[19.9],[39.2],[286],[0.65]
['2022-11-11'],[12.9],[6.5],[10.8],[4.0],['2022-11-11T07:48'],['2022-11-11T16:56'],[4.52],[0.0],[0.0],[0.0],[0.0],[19.8],[38.2],[243],[0.65]
['2022-10-05'],[19.0],[14.7],[16.0],[11.9],['2022-10-05T06:44'],['2022-10-05T18:09'],[11.36],[0.3],[0.3],[0.0],[2.0],[29.8],[55.1],[232],[2.53]
['2022-10-06'],[16.8],[9.5],[13.6],[7.1],['2022-10-06T06:46'],['2022-10-06T18:07'],[10.93],[0.0],[0.0],[0.0],[0.0],[23.1],[45.0],[209],[2.14]
['2022-10-03'],[16.8],[6.6],[15.9],[4.8],['2022-10-03T06:41'],['2022-10-03T18:14'],[6.85],[0.1],[0.1],[0.0],[1.0],[8.9],[21.6],[214],[1.18]
['2022-10-17'],[17.4],[13.6],[17.7],[12.5],['2022-10-17T07:04'],['2022-10-17T17:43'],[2.59],[3.2],[3.2],[0.0],[11.0],[17.1],[33.1],[254],[0.55]
['2022-10-17'],[17.4],[13.6],[17.7],[12.5],['2022-10-17T07:04'],['2022-10-17T17:43'],[2.59],[3.2],[3.2],[0.0],[11.0],[17.1],[33.1],[254],[0.55]
['2022-10-17'],[17.4],[13.6],[17.7],[12.5],['2022-10-17T07:04'],['2022-10-17T17:43'],[2.59],[3.2],[3.2],[0.0],[11.0],[17.1],[33.1],[254],[0.55]
['2022-10-26'],[19.4],[10.6],[18.7],[8.8],['2022-10-26T07:20'],['2022-10-26T17:24'],[6.46],[0.5],[0.5],[0.0],[4.0],[15.5],[41.0],[261],[1.26]
['2022-10-27'],[20.3],[13.1],[19.4],[11.1],['2022-10-27T07:22'],['2022-10-27T17:22'],[5.05],[3.1],[3.1],[0.0],[7.0],[18.1],[34.2],[280],[1.29]
['2022-10-26'],[19.4],[10.6],[18.7],[8.8],['2022-10-26T07:20'],['2022-10-26T17:24'],[6.46],[0.5],[0.5],[0.0],[4.0],[15.5],[41.0],[261],[1.26]
['2022-10-20'],[18.1],[9.4],[18.0],[6.0],['2022-10-20T07:10'],['2022-10-20T17:37'],[3.33],[8.3],[8.3],[0.0],[8.0],[20.1],[37.1],[315],[0.63]
['2022-10-18'],[17.6],[7.4],[17.0],[5.4],['2022-10-18T07:06'],['2022-10-18T17:41'],[9.97],[0.1],[0.1],[0.0],[1.0],[9.2],[21.2],[119],[1.45]
['2022-10-19'],[13.9],[6.1],[11.0],[3.2],['2022-10-19T07:08'],['2022-10-19T17:39'],[7.49],[0.0],[0.0],[0.0],[0.0],[19.2],[38.5],[3],[1.17]
['2022-09-02'],[26.1],[14.9],[23.6],[12.7],['2022-09-02T05:51'],['2022-09-02T19:25'],[14.2],[0.0],[0.0],[0.0],[0.0],[18.0],[36.4],[357],[4.56]
['2022-09-22'],[18.6],[5.9],[16.7],[3.6],['2022-09-22T06:23'],['2022-09-22T18:39'],[14.93],[0.0],[0.0],[0.0],[0.0],[9.7],[23.4],[299],[2.39]
['2022-09-21'],[16.8],[6.8],[15.4],[4.7],['2022-09-21T06:21'],['2022-09-21T18:41'],[12.01],[0.0],[0.0],[0.0],[0.0],[9.5],[13.3],[8],[1.89]
['2022-09-29'],[14.9],[3.8],[13.8],[1.5],['2022-09-29T06:34'],['2022-09-29T18:23'],[11.05],[0.6],[0.6],[0.0],[3.0],[9.7],[15.5],[219],[1.51]
['2022-09-16'],[14.5],[10.9],[13.0],[8.0],['2022-09-16T06:13'],['2022-09-16T18:53'],[12.71],[2.5],[2.5],[0.0],[9.0],[19.5],[45.0],[157],[1.83]
['2022-09-15'],[17.7],[12.8],[15.9],[11.3],['2022-09-15T06:11'],['2022-09-15T18:55'],[9.52],[0.0],[0.0],[0.0],[0.0],[21.4],[37.4],[145],[1.97]
['2022-08-26'],[20.8],[16.4],[20.9],[15.7],['2022-08-26T05:39'],['2022-08-26T19:41'],[11.07],[1.0],[1.0],[0.0],[7.0],[17.7],[38.5],[117],[2.32]
['2022-08-30'],[23.9],[14.7],[21.8],[13.9],['2022-08-30T05:46'],['2022-08-30T19:32'],[15.13],[0.0],[0.0],[0.0],[0.0],[18.4],[38.2],[46],[3.74]
['2022-08-22'],[25.8],[14.9],[26.1],[15.3],['2022-08-22T05:33'],['2022-08-22T19:49'],[17.87],[0.1],[0.1],[0.0],[1.0],[13.4],[24.1],[25],[3.58]
['2022-08-12'],[30.8],[16.6],[29.9],[15.8],['2022-08-12T05:17'],['2022-08-12T20:10'],[24.02],[0.0],[0.0],[0.0],[0.0],[12.8],[28.1],[15],[5.88]
['2022-07-05'],[20.7],[11.7],[19.4],[10.2],['2022-07-05T04:25'],['2022-07-05T21:00'],[19.84],[0.2],[0.2],[0.0],[2.0],[20.5],[40.7],[157],[3.69]
['2022-07-01'],[19.6],[12.7],[17.8],[11.4],['2022-07-01T04:22'],['2022-07-01T21:02'],[21.03],[1.0],[1.0],[0.0],[9.0],[19.3],[41.8],[217],[3.47]
['2022-07-29'],[23.8],[14.0],[24.2],[13.1],['2022-07-29T04:55'],['2022-07-29T20:35'],[20.85],[2.9],[2.9],[0.0],[10.0],[17.1],[27.0],[88],[4.19]
['2022-07-29'],[23.8],[14.0],[24.2],[13.1],['2022-07-29T04:55'],['2022-07-29T20:35'],[20.85],[2.9],[2.9],[0.0],[10.0],[17.1],[27.0],[88],[4.19]
['2022-07-29'],[23.8],[14.0],[24.2],[13.1],['2022-07-29T04:55'],['2022-07-29T20:35'],[20.85],[2.9],[2.9],[0.0],[10.0],[17.1],[27.0],[88],[4.19]
['2022-07-15'],[21.3],[11.0],[19.4],[9.9],['2022-07-15T04:36'],['2022-07-15T20:53'],[18.42],[0.0],[0.0],[0.0],[0.0],[13.9],[28.1],[156],[3.54]
['2022-06-08'],[17.3],[13.6],[16.9],[13.0],['2022-06-08T04:19'],['2022-06-08T20:56'],[6.38],[11.4],[11.4],[0.0],[14.0],[19.9],[31.7],[244],[1.19]
['2022-06-21'],[20.0],[8.2],[19.3],[6.6],['2022-06-21T04:17'],['2022-06-21T21:03'],[21.46],[0.0],[0.0],[0.0],[0.0],[11.2],[20.2],[40],[3.63]
['2022-06-27'],[19.4],[13.3],[20.6],[12.8],['2022-06-27T04:20'],['2022-06-27T21:03'],[13.73],[3.5],[3.5],[0.0],[7.0],[19.1],[32.0],[208],[2.25]
['2022-06-24'],[23.8],[17.9],[25.5],[18.4],['2022-06-24T04:18'],['2022-06-24T21:03'],[12.09],[30.6],[30.6],[0.0],[21.0],[14.2],[25.6],[217],[2.31]
['2022-06-16'],[23.6],[11.8],[24.1],[10.2],['2022-06-16T04:17'],['2022-06-16T21:01'],[27.76],[0.0],[0.0],[0.0],[0.0],[13.8],[24.1],[44],[5.04]
['2022-06-16'],[23.6],[11.8],[24.1],[10.2],['2022-06-16T04:17'],['2022-06-16T21:01'],[27.76],[0.0],[0.0],[0.0],[0.0],[13.8],[24.1],[44],[5.04]
['2022-06-16'],[23.6],[11.8],[24.1],[10.2],['2022-06-16T04:17'],['2022-06-16T21:01'],[27.76],[0.0],[0.0],[0.0],[0.0],[13.8],[24.1],[44],[5.04]
['2022-06-17'],[29.0],[14.4],[28.9],[13.1],['2022-06-17T04:17'],['2022-06-17T21:01'],[26.67],[0.0],[0.0],[0.0],[0.0],[14.7],[30.2],[267],[5.79]
['2022-06-15'],[23.9],[10.9],[24.1],[9.5],['2022-06-15T04:17'],['2022-06-15T21:00'],[28.72],[0.0],[0.0],[0.0],[0.0],[14.7],[27.4],[51],[5.36]
['2022-06-14'],[20.5],[8.0],[19.1],[6.1],['2022-06-14T04:17'],['2022-06-14T21:00'],[24.56],[0.0],[0.0],[0.0],[0.0],[12.2],[21.6],[57],[4.19]
['2022-05-04'],[15.2],[6.4],[13.9],[3.8],['2022-05-04T05:02'],['2022-05-04T20:08'],[17.74],[0.0],[0.0],[0.0],[0.0],[13.2],[20.5],[109],[2.87]
['2022-05-04'],[15.2],[6.4],[13.9],[3.8],['2022-05-04T05:02'],['2022-05-04T20:08'],[17.74],[0.0],[0.0],[0.0],[0.0],[13.2],[20.5],[109],[2.87]
['2022-05-13'],[18.6],[10.5],[15.4],[7.3],['2022-05-13T04:46'],['2022-05-13T20:23'],[21.99],[0.2],[0.2],[0.0],[2.0],[22.0],[49.3],[199],[3.89]
['2022-05-24'],[15.3],[10.3],[13.0],[8.2],['2022-05-24T04:31'],['2022-05-24T20:39'],[17.94],[6.1],[6.1],[0.0],[10.0],[25.8],[51.5],[213],[2.65]
['2022-05-24'],[15.3],[10.3],[13.0],[8.2],['2022-05-24T04:31'],['2022-05-24T20:39'],[17.94],[6.1],[6.1],[0.0],[10.0],[25.8],[51.5],[213],[2.65]
['2022-04-14'],[17.8],[7.9],[16.0],[6.4],['2022-04-14T05:42'],['2022-04-14T19:35'],[16.64],[0.7],[0.7],[0.0],[6.0],[14.3],[28.4],[168],[2.59]
['2022-04-08'],[9.0],[3.7],[5.6],[-0.2],['2022-04-08T05:55'],['2022-04-08T19:25'],[10.91],[1.1],[1.1],[0.0],[8.0],[27.6],[50.4],[169],[1.73]
['2022-04-29'],[13.4],[6.1],[9.9],[2.9],['2022-04-29T05:11'],['2022-04-29T20:00'],[14.7],[0.1],[0.1],[0.0],[1.0],[17.4],[35.3],[59],[2.23]
['2022-04-29'],[13.4],[6.1],[9.9],[2.9],['2022-04-29T05:11'],['2022-04-29T20:00'],[14.7],[0.1],[0.1],[0.0],[1.0],[17.4],[35.3],[59],[2.23]
['2022-03-24'],[17.9],[2.6],[15.2],[0.0],['2022-03-24T06:30'],['2022-03-24T18:59'],[16.72],[0.0],[0.0],[0.0],[0.0],[10.5],[17.6],[72],[2.8]
['2022-03-31'],[5.1],[1.3],[1.3],[-3.8],['2022-03-31T06:14'],['2022-03-31T19:11'],[7.57],[10.5],[8.3],[1.54],[23.0],[23.2],[41.8],[76],[0.79]
['2022-03-29'],[12.6],[6.3],[9.8],[3.3],['2022-03-29T06:18'],['2022-03-29T19:08'],[16.3],[0.0],[0.0],[0.0],[0.0],[16.1],[30.2],[34],[2.15]
['2022-03-29'],[12.6],[6.3],[9.8],[3.3],['2022-03-29T06:18'],['2022-03-29T19:08'],[16.3],[0.0],[0.0],[0.0],[0.0],[16.1],[30.2],[34],[2.15]
['2022-02-25'],[7.3],[2.4],[3.3],[-2.6],['2022-02-25T07:30'],['2022-02-25T18:12'],[7.0],[3.6],[3.6],[0.0],[9.0],[24.5],[52.9],[184],[1.02]
['2022-02-25'],[7.3],[2.4],[3.3],[-2.6],['2022-02-25T07:30'],['2022-02-25T18:12'],[7.0],[3.6],[3.6],[0.0],[9.0],[24.5],[52.9],[184],[1.02]
['2022-11-28'],[9.8],[6.6],[8.5],[4.4],['2022-11-28T08:16'],['2022-11-28T16:36'],[2.33],[3.4],[3.4],[0.0],[9.0],[17.3],[30.2],[243],[0.27]
['2022-11-17'],[11.5],[9.0],[7.6],[5.2],['2022-11-17T07:59'],['2022-11-17T16:48'],[1.69],[13.4],[13.4],[0.0],[17.0],[32.2],[63.0],[275],[0.73]
['2022-10-10'],[16.5],[7.1],[15.1],[5.0],['2022-10-10T06:53'],['2022-10-10T17:58'],[7.5],[2.0],[2.0],[0.0],[5.0],[15.3],[32.4],[216],[1.19]
['2022-07-14'],[22.7],[11.6],[22.0],[11.2],['2022-07-14T04:34'],['2022-07-14T20:54'],[22.16],[0.0],[0.0],[0.0],[0.0],[17.4],[37.8],[106],[4.23]
['2022-04-05'],[11.9],[9.0],[8.6],[5.9],['2022-04-05T06:02'],['2022-04-05T19:20'],[6.22],[4.5],[4.5],[0.0],[18.0],[24.1],[49.7],[184],[0.97]
['2022-06-10'],[21.5],[12.7],[20.9],[11.4],['2022-06-10T04:18'],['2022-06-10T20:57'],[13.01],[0.2],[0.2],[0.0],[2.0],[18.1],[38.5],[237],[2.85]
['2022-05-12'],[18.7],[9.2],[15.3],[7.4],['2022-05-12T04:48'],['2022-05-12T20:21'],[18.49],[0.1],[0.1],[0.0],[1.0],[18.4],[40.0],[187],[3.48]
['2021-12-10'],[4.3],[0.9],[1.8],[-2.0],['2021-12-10T08:32'],['2021-12-10T16:30'],[1.08],[0.8],[0.8],[0.0],[4.0],[20.8],[36.7],[136],[0.31]
['2022-10-20'],[18.1],[9.4],[17.9],[6.0],['2022-10-20T07:10'],['2022-10-20T17:37'],[3.33],[8.3],[8.3],[0.0],[8.0],[20.1],[37.1],[315],[0.63]
['2022-08-18'],[24.4],[17.0],[25.6],[18.2],['2022-08-18T05:26'],['2022-08-18T19:58'],[13.95],[0.0],[0.0],[0.0],[0.0],[11.7],[22.7],[116],[2.65]
['2022-11-29'],[8.4],[6.2],[6.7],[3.9],['2022-11-29T08:18'],['2022-11-29T16:36'],[1.63],[0.0],[0.0],[0.0],[0.0],[9.7],[16.6],[177],[0.22]
['2022-10-31'],[16.4],[8.6],[15.6],[7.0],['2022-10-31T07:29'],['2022-10-31T17:15'],[4.75],[0.7],[0.7],[0.0],[3.0],[18.2],[36.0],[309],[0.85]
['2022-09-07'],[24.1],[15.7],[23.8],[15.7],['2022-09-07T05:59'],['2022-09-07T19:14'],[14.07],[5.7],[5.7],[0.0],[10.0],[20.5],[39.2],[225],[2.61]
['2022-09-22'],[18.6],[5.9],[16.7],[3.6],['2022-09-22T06:23'],['2022-09-22T18:39'],[14.93],[0.0],[0.0],[0.0],[0.0],[9.7],[23.4],[299],[2.39]
['2022-09-30'],[16.5],[4.2],[13.7],[1.5],['2022-09-30T06:36'],['2022-09-30T18:21'],[11.46],[0.5],[0.5],[0.0],[1.0],[26.7],[48.6],[248],[2.09]
['2022-09-17'],[15.1],[10.1],[10.9],[7.4],['2022-09-17T06:15'],['2022-09-17T18:51'],[13.06],[1.6],[1.6],[0.0],[13.0],[28.3],[55.8],[145],[1.89]
['2022-09-16'],[14.5],[10.9],[13.0],[8.0],['2022-09-16T06:13'],['2022-09-16T18:53'],[12.71],[2.5],[2.5],[0.0],[9.0],[19.5],[45.0],[157],[1.83]
['2022-07-29'],[23.8],[14.0],[24.2],[13.1],['2022-07-29T04:55'],['2022-07-29T20:35'],[20.85],[2.9],[2.9],[0.0],[10.0],[17.1],[27.0],[88],[4.19]
['2022-07-08'],[23.3],[10.3],[22.8],[9.2],['2022-07-08T04:28'],['2022-07-08T20:59'],[19.52],[0.2],[0.2],[0.0],[1.0],[13.4],[31.3],[150],[3.65]
['2022-06-09'],[19.3],[12.8],[18.2],[11.6],['2022-06-09T04:18'],['2022-06-09T20:57'],[23.35],[1.3],[1.3],[0.0],[5.0],[16.1],[37.1],[188],[3.76]
['2022-06-21'],[20.0],[8.2],[19.3],[6.6],['2022-06-21T04:17'],['2022-06-21T21:03'],[21.46],[0.0],[0.0],[0.0],[0.0],[11.2],[20.2],[40],[3.63]
['2022-06-24'],[23.8],[17.9],[25.5],[18.5],['2022-06-24T04:18'],['2022-06-24T21:03'],[12.09],[30.6],[30.6],[0.0],[21.0],[14.2],[25.6],[217],[2.31]
['2022-06-27'],[19.4],[13.3],[20.6],[12.8],['2022-06-27T04:20'],['2022-06-27T21:03'],[13.73],[3.5],[3.5],[0.0],[7.0],[19.1],[32.0],[208],[2.25]
['2022-06-03'],[23.0],[11.1],[22.7],[8.6],['2022-06-03T04:22'],['2022-06-03T20:51'],[25.92],[0.2],[0.2],[0.0],[2.0],[20.8],[36.7],[35],[5.36]
['2022-06-10'],[21.5],[12.7],[21.0],[11.5],['2022-06-10T04:18'],['2022-06-10T20:57'],[13.01],[0.2],[0.2],[0.0],[2.0],[18.1],[38.5],[237],[2.86]
['2022-03-23'],[18.3],[2.3],[16.3],[-1.0],['2022-03-23T06:32'],['2022-03-23T18:58'],[16.62],[0.0],[0.0],[0.0],[0.0],[10.0],[14.0],[21],[2.67]
['2022-10-12'],[14.7],[3.4],[12.6],[0.4],['2022-10-12T06:56'],['2022-10-12T17:53'],[9.17],[0.0],[0.0],[0.0],[0.0],[10.6],[23.8],[277],[1.31]
['2022-10-13'],[14.1],[10.8],[12.9],[8.9],['2022-10-13T06:58'],['2022-10-13T17:51'],[3.64],[3.2],[3.2],[0.0],[9.0],[15.8],[25.2],[239],[0.66]
['2022-09-13'],[23.4],[15.3],[24.1],[14.8],['2022-09-13T06:08'],['2022-09-13T19:00'],[11.87],[2.8],[2.8],[0.0],[5.0],[11.4],[23.0],[124],[2.37]
['2022-07-07'],[18.0],[14.9],[17.3],[12.9],['2022-07-07T04:27'],['2022-07-07T20:59'],[9.93],[1.6],[1.6],[0.0],[9.0],[25.2],[48.6],[137],[2.44]
['2022-11-16'],[12.3],[9.2],[9.5],[5.6],['2022-11-16T07:57'],['2022-11-16T16:49'],[4.8],[10.1],[10.1],[0.0],[16.0],[25.3],[47.2],[284],[0.71]
['2022-06-17'],[29.0],[14.4],[28.9],[13.1],['2022-06-17T04:17'],['2022-06-17T21:01'],[26.67],[0.0],[0.0],[0.0],[0.0],[14.7],[30.2],[267],[5.79]
['2022-02-23'],[11.2],[3.1],[6.4],[-0.3],['2022-02-23T07:34'],['2022-02-23T18:09'],[9.88],[0.0],[0.0],[0.0],[0.0],[23.7],[45.7],[220],[1.59]
['2022-09-09'],[18.7],[14.1],[17.3],[13.2],['2022-09-09T06:02'],['2022-09-09T19:09'],[10.22],[2.8],[2.8],[0.0],[6.0],[24.6],[54.0],[254],[1.75]
['2022-06-01'],[15.6],[8.6],[14.3],[7.2],['2022-06-01T04:23'],['2022-06-01T20:48'],[23.19],[5.4],[5.4],[0.0],[13.0],[17.1],[43.9],[11],[3.41]
['2022-03-25'],[16.3],[2.8],[13.1],[-0.2],['2022-03-25T06:27'],['2022-03-25T19:01'],[16.62],[0.0],[0.0],[0.0],[0.0],[13.6],[23.4],[60],[2.64]
['2022-10-19'],[13.9],[6.1],[11.0],[3.2],['2022-10-19T07:08'],['2022-10-19T17:39'],[7.49],[0.0],[0.0],[0.0],[0.0],[19.2],[38.5],[3],[1.17]
['2022-08-22'],[25.8],[15.0],[26.1],[15.3],['2022-08-22T05:33'],['2022-08-22T19:49'],[17.87],[0.1],[0.1],[0.0],[1.0],[13.4],[24.1],[25],[3.58]
['2022-06-23'],[29.5],[15.3],[31.1],[13.8],['2022-06-23T04:18'],['2022-06-23T21:03'],[25.56],[0.0],[0.0],[0.0],[0.0],[13.0],[34.6],[331],[5.41]
['2022-05-17'],[25.0],[13.7],[25.1],[12.7],['2022-05-17T04:40'],['2022-05-17T20:29'],[15.91],[1.2],[1.2],[0.0],[6.0],[14.0],[23.4],[297],[3.26]
['2022-11-11'],[12.9],[6.5],[10.8],[4.0],['2022-11-11T07:48'],['2022-11-11T16:56'],[4.52],[0.0],[0.0],[0.0],[0.0],[19.8],[38.2],[243],[0.65]
['2022-03-29'],[12.6],[6.3],[9.9],[3.3],['2022-03-29T06:18'],['2022-03-29T19:08'],[16.3],[0.0],[0.0],[0.0],[0.0],[16.1],[30.2],[34],[2.15]
['2022-05-06'],[20.7],[7.7],[19.8],[6.1],['2022-05-06T04:58'],['2022-05-06T20:12'],[21.86],[0.0],[0.0],[0.0],[0.0],[10.1],[20.5],[167],[3.57]
['2022-05-06'],[20.7],[7.7],[19.8],[6.1],['2022-05-06T04:58'],['2022-05-06T20:12'],[21.86],[0.0],[0.0],[0.0],[0.0],[10.1],[20.5],[167],[3.57]
['2022-06-27'],[19.4],[13.3],[20.6],[12.8],['2022-06-27T04:20'],['2022-06-27T21:03'],[13.73],[3.5],[3.5],[0.0],[7.0],[19.1],[32.0],[208],[2.25]
['2022-03-17'],[11.4],[3.9],[8.7],[1.1],['2022-03-17T06:46'],['2022-03-17T18:47'],[12.19],[2.6],[2.6],[0.0],[5.0],[22.0],[46.8],[165],[1.77]
['2022-05-19'],[24.4],[12.9],[25.4],[12.0],['2022-05-19T04:38'],['2022-05-19T20:32'],[15.04],[4.5],[4.5],[0.0],[6.0],[17.4],[39.6],[232],[2.87]
['2022-04-19'],[18.2],[5.1],[15.6],[2.3],['2022-04-19T05:32'],['2022-04-19T19:44'],[21.46],[0.0],[0.0],[0.0],[0.0],[15.9],[31.7],[23],[3.91]
['2022-06-01'],[15.6],[8.7],[14.3],[7.2],['2022-06-01T04:23'],['2022-06-01T20:49'],[23.19],[5.4],[5.4],[0.0],[13.0],[17.1],[43.9],[11],[3.41]
['2022-03-14'],[12.9],[5.4],[10.4],[2.9],['2022-03-14T06:53'],['2022-03-14T18:42'],[9.19],[0.4],[0.4],[0.0],[3.0],[19.1],[36.0],[232],[1.45]
['2022-04-08'],[9.0],[3.7],[5.6],[-0.2],['2022-04-08T05:56'],['2022-04-08T19:25'],[10.91],[1.1],[1.1],[0.0],[8.0],[27.6],[50.4],[169],[1.73]
['2022-09-13'],[23.4],[15.3],[24.1],[14.8],['2022-09-13T06:08'],['2022-09-13T19:00'],[11.87],[2.8],[2.8],[0.0],[5.0],[11.4],[23.0],[124],[2.37]
['2022-09-09'],[18.6],[14.1],[17.3],[13.2],['2022-09-09T06:02'],['2022-09-09T19:09'],[10.22],[2.8],[2.8],[0.0],[6.0],[24.6],[54.0],[254],[1.75]
['2022-11-03'],[14.7],[11.3],[11.5],[7.7],['2022-11-03T07:34'],['2022-11-03T17:09'],[3.31],[6.9],[6.9],[0.0],[10.0],[25.8],[47.9],[263],[1.28]
['2022-10-05'],[19.0],[14.7],[16.0],[12.0],['2022-10-05T06:44'],['2022-10-05T18:09'],[11.36],[0.3],[0.3],[0.0],[2.0],[29.8],[55.1],[232],[2.53]
['2022-07-05'],[20.7],[11.7],[19.4],[10.2],['2022-07-05T04:25'],['2022-07-05T21:00'],[19.84],[0.2],[0.2],[0.0],[2.0],[20.5],[40.7],[157],[3.69]
['2022-06-21'],[20.0],[8.2],[19.3],[6.6],['2022-06-21T04:17'],['2022-06-21T21:03'],[21.46],[0.0],[0.0],[0.0],[0.0],[11.2],[20.2],[40],[3.63]
['2022-04-13'],[15.5],[10.3],[15.1],[8.8],['2022-04-13T05:44'],['2022-04-13T19:33'],[6.58],[4.4],[4.4],[0.0],[10.0],[14.4],[22.3],[204],[1.27]
['2022-04-15'],[12.5],[5.6],[10.2],[3.4],['2022-04-15T05:40'],['2022-04-15T19:37'],[15.49],[0.0],[0.0],[0.0],[0.0],[11.5],[23.4],[53],[2.04]
['2022-11-16'],[12.3],[9.2],[9.5],[5.7],['2022-11-16T07:57'],['2022-11-16T16:49'],[4.8],[10.1],[10.1],[0.0],[16.0],[25.3],[47.2],[284],[0.71]
['2022-10-07'],[17.5],[8.9],[14.6],[6.0],['2022-10-07T06:47'],['2022-10-07T18:05'],[10.38],[0.0],[0.0],[0.0],[0.0],[18.7],[43.9],[239],[1.99]
['2022-09-01'],[24.5],[13.1],[22.1],[10.5],['2022-09-01T05:49'],['2022-09-01T19:27'],[19.31],[0.0],[0.0],[0.0],[0.0],[16.7],[38.5],[23],[4.7]
['2022-09-29'],[14.9],[3.8],[13.8],[1.5],['2022-09-29T06:34'],['2022-09-29T18:23'],[11.05],[0.6],[0.6],[0.0],[3.0],[9.7],[15.5],[219],[1.51]
['2022-07-05'],[20.7],[11.7],[19.4],[10.2],['2022-07-05T04:25'],['2022-07-05T21:00'],[19.84],[0.2],[0.2],[0.0],[2.0],[20.5],[40.7],[157],[3.69]
['2022-07-13'],[26.7],[16.7],[27.6],[16.6],['2022-07-13T04:33'],['2022-07-13T20:55'],[22.87],[1.5],[1.5],[0.0],[6.0],[18.9],[38.9],[167],[5.01]
['2022-06-21'],[20.0],[8.2],[19.3],[6.6],['2022-06-21T04:17'],['2022-06-21T21:03'],[21.46],[0.0],[0.0],[0.0],[0.0],[11.2],[20.2],[40],[3.63]
['2022-06-30'],[22.5],[13.2],[23.2],[11.9],['2022-06-30T04:21'],['2022-06-30T21:02'],[16.68],[9.7],[9.7],[0.0],[8.0],[22.1],[34.6],[159],[3.09]
['2022-06-02'],[19.8],[5.0],[18.1],[2.9],['2022-06-02T04:23'],['2022-06-02T20:50'],[25.48],[0.0],[0.0],[0.0],[0.0],[15.4],[22.3],[46],[4.25]
['2022-05-03'],[15.3],[4.3],[13.4],[1.9],['2022-05-03T05:03'],['2022-05-03T20:07'],[15.49],[0.2],[0.2],[0.0],[2.0],[15.9],[28.8],[89],[2.51]
['2022-05-23'],[22.6],[12.9],[23.0],[10.5],['2022-05-23T04:32'],['2022-05-23T20:38'],[17.24],[9.9],[9.9],[0.0],[7.0],[22.4],[38.9],[262],[3.22]
['2022-07-15'],[21.3],[11.0],[19.4],[9.8],['2022-07-15T04:36'],['2022-07-15T20:53'],[18.42],[0.0],[0.0],[0.0],[0.0],[13.9],[28.1],[156],[3.53]
['2022-08-26'],[20.8],[16.4],[20.9],[15.7],['2022-08-26T05:39'],['2022-08-26T19:41'],[11.07],[1.0],[1.0],[0.0],[7.0],[17.7],[38.5],[117],[2.32]
['2022-02-25'],[7.3],[2.4],[3.3],[-2.6],['2022-02-25T07:30'],['2022-02-25T18:12'],[7.0],[3.6],[3.6],[0.0],[9.0],[24.5],[52.9],[184],[1.02]
['2022-05-06'],[20.7],[7.8],[19.8],[6.2],['2022-05-06T04:58'],['2022-05-06T20:12'],[21.86],[0.0],[0.0],[0.0],[0.0],[10.1],[20.5],[167],[3.57]
['2022-06-08'],[17.3],[13.6],[16.9],[13.0],['2022-06-08T04:19'],['2022-06-08T20:56'],[6.38],[11.4],[11.4],[0.0],[14.0],[19.9],[31.7],[244],[1.19]
['2022-11-22'],[8.6],[4.7],[5.3],[0.3],['2022-11-22T08:07'],['2022-11-22T16:42'],[2.02],[1.7],[1.7],[0.0],[7.0],[24.9],[44.3],[269],[0.44]
['2022-11-17'],[11.5],[9.0],[7.6],[5.2],['2022-11-17T07:59'],['2022-11-17T16:48'],[1.69],[13.4],[13.4],[0.0],[17.0],[32.2],[63.0],[275],[0.73]
