time,temperature_2m_max,temperature_2m_min,apparent_temperature_max,apparent_temperature_min,sunrise,sunset,shortwave_radiation_sum,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,windspeed_10m_max,windgusts_10m_max,winddirection_10m_dominant,et0_fao_evapotranspiration
['2022-09-27'],[11.6],[7.9],[9.0],[5.5],['2022-09-27T06:31'],['2022-09-27T18:28'],[7.11],[8.1],[8.1],[0.0],[16.0],[15.8],[41.4],[192],[0.98]
['2022-09-16'],[14.5],[10.9],[13.0],[8.0],['2022-09-16T06:13'],['2022-09-16T18:53'],[12.71],[2.5],[2.5],[0.0],[9.0],[19.5],[45.0],[157],[1.83]
['2022-06-03'],[23.1],[11.2],[22.7],[8.6],['2022-06-03T04:22'],['2022-06-03T20:52'],[25.92],[0.2],[0.2],[0.0],[2.0],[20.8],[36.7],[35],[5.36]
['2022-04-21'],[17.2],[6.3],[13.5],[3.1],['2022-04-21T05:27'],['2022-04-21T19:47'],[21.17],[0.0],[0.0],[0.0],[0.0],[20.9],[40.3],[27],[3.81]
['2022-09-03'],[26.1],[15.3],[25.6],[12.7],['2022-09-03T05:52'],['2022-09-03T19:23'],[18.65],[0.4],[0.4],[0.0],[2.0],[17.7],[32.4],[341],[4.5]
['2022-09-06'],[27.0],[15.8],[28.1],[16.8],['2022-09-06T05:57'],['2022-09-06T19:16'],[16.18],[1.4],[1.4],[0.0],[5.0],[14.0],[31.3],[360],[3.25]
['2022-09-13'],[23.4],[15.3],[24.1],[14.8],['2022-09-13T06:08'],['2022-09-13T19:00'],[11.87],[2.8],[2.8],[0.0],[5.0],[11.4],[23.0],[124],[2.37]
['2022-10-19'],[13.9],[6.1],[11.0],[3.3],['2022-10-19T07:08'],['2022-10-19T17:39'],[7.49],[0.0],[0.0],[0.0],[0.0],[19.2],[38.5],[3],[1.17]
['2022-11-03'],[14.8],[11.3],[11.5],[7.7],['2022-11-03T07:35'],['2022-11-03T17:10'],[3.31],[6.9],[6.9],[0.0],[10.0],[25.8],[47.9],[263],[1.28]
['2022-07-15'],[21.3],[11.0],[19.5],[9.9],['2022-07-15T04:36'],['2022-07-15T20:53'],[18.42],[0.0],[0.0],[0.0],[0.0],[13.9],[28.1],[156],[3.54]
['2021-09-03'],[23.2],[11.8],[23.4],[10.7],['2021-09-03T05:53'],['2021-09-03T19:23'],[18.82],[0.0],[0.0],[0.0],[0.0],[16.4],[25.9],[47],[3.28]
['2021-07-09'],[22.0],[13.2],[21.5],[13.5],['2021-07-09T04:29'],['2021-07-09T20:58'],[21.46],[0.2],[0.2],[0.0],[1.0],[13.8],[27.0],[281],[3.74]
['2022-11-04'],[11.6],[7.0],[10.0],[4.6],['2022-11-04T07:36'],['2022-11-04T17:08'],[2.71],[4.0],[4.0],[0.0],[12.0],[19.3],[34.6],[207],[0.43]
['2022-03-31'],[5.1],[1.3],[1.3],[-3.8],['2022-03-31T06:14'],['2022-03-31T19:11'],[7.57],[10.5],[8.3],[1.54],[23.0],[23.2],[41.8],[76],[0.79]
['2022-11-04'],[11.5],[7.0],[9.9],[4.5],['2022-11-04T07:36'],['2022-11-04T17:08'],[2.71],[4.0],[4.0],[0.0],[12.0],[19.3],[34.6],[207],[0.43]
['2022-10-21'],[19.2],[13.2],[19.3],[12.6],['2022-10-21T07:12'],['2022-10-21T17:35'],[4.5],[0.3],[0.3],[0.0],[2.0],[15.0],[35.3],[275],[0.86]
['2022-09-29'],[14.9],[3.8],[13.8],[1.5],['2022-09-29T06:34'],['2022-09-29T18:23'],[11.05],[0.6],[0.6],[0.0],[3.0],[9.7],[15.5],[219],[1.51]
['2022-10-18'],[17.6],[7.4],[17.0],[5.4],['2022-10-18T07:06'],['2022-10-18T17:41'],[9.97],[0.1],[0.1],[0.0],[1.0],[9.2],[21.2],[119],[1.45]
['2022-07-06'],[20.8],[10.2],[19.4],[8.5],['2022-07-06T04:26'],['2022-07-06T21:00'],[19.22],[0.9],[0.9],[0.0],[2.0],[15.5],[29.9],[174],[3.68]
['2022-02-15'],[9.3],[5.5],[4.0],[2.3],['2022-02-15T07:51'],['2022-02-15T17:54'],[5.98],[6.2],[6.2],[0.0],[8.0],[32.4],[61.6],[226],[0.97]
['2022-07-01'],[19.6],[12.7],[17.8],[11.5],['2022-07-01T04:22'],['2022-07-01T21:03'],[21.03],[1.0],[1.0],[0.0],[9.0],[19.3],[41.8],[217],[3.47]
['2022-06-24'],[23.8],[17.9],[25.5],[18.5],['2022-06-24T04:18'],['2022-06-24T21:03'],[12.09],[30.6],[30.6],[0.0],[21.0],[14.2],[25.6],[217],[2.31]
['2022-07-30'],[24.4],[12.8],[24.6],[12.3],['2022-07-30T04:56'],['2022-07-30T20:33'],[21.86],[0.3],[0.3],[0.0],[1.0],[10.9],[25.9],[150],[4.01]
['2022-11-01'],[16.6],[12.7],[14.0],[7.5],['2022-11-01T07:31'],['2022-11-01T17:13'],[6.92],[2.4],[2.4],[0.0],[7.0],[31.0],[54.4],[251],[2.21]
['2022-06-07'],[18.7],[12.3],[17.9],[10.5],['2022-06-07T04:19'],['2022-06-07T20:55'],[17.96],[0.8],[0.8],[0.0],[5.0],[18.4],[37.4],[203],[2.9]
['2022-06-16'],[23.6],[11.9],[24.1],[10.2],['2022-06-16T04:17'],['2022-06-16T21:01'],[27.76],[0.0],[0.0],[0.0],[0.0],[13.8],[24.1],[44],[5.04]
['2022-05-24'],[15.3],[10.3],[13.1],[8.2],['2022-05-24T04:31'],['2022-05-24T20:39'],[17.94],[6.1],[6.1],[0.0],[10.0],[25.8],[51.5],[213],[2.66]
['2022-05-26'],[19.1],[13.7],[16.2],[11.7],['2022-05-26T04:29'],['2022-05-26T20:42'],[17.13],[1.9],[1.9],[0.0],[13.0],[26.6],[50.0],[203],[3.4]
['2022-04-29'],[13.5],[6.2],[9.9],[3.0],['2022-04-29T05:11'],['2022-04-29T20:01'],[14.7],[0.1],[0.1],[0.0],[1.0],[17.4],[35.3],[59],[2.23]
['2022-10-03'],[16.9],[6.7],[16.0],[4.8],['2022-10-03T06:41'],['2022-10-03T18:14'],[6.85],[0.1],[0.1],[0.0],[1.0],[8.9],[21.6],[214],[1.18]
['2022-09-22'],[18.7],[5.9],[16.8],[3.6],['2022-09-22T06:23'],['2022-09-22T18:39'],[14.93],[0.0],[0.0],[0.0],[0.0],[9.7],[23.4],[299],[2.39]
['2022-09-30'],[16.5],[4.2],[13.7],[1.5],['2022-09-30T06:36'],['2022-09-30T18:21'],[11.46],[0.5],[0.5],[0.0],[1.0],[26.7],[48.6],[248],[2.09]
['2022-07-22'],[20.5],[14.7],[20.3],[14.8],['2022-07-22T04:45'],['2022-07-22T20:45'],[17.37],[0.5],[0.5],[0.0],[2.0],[9.8],[19.4],[98],[3.14]
['2022-07-26'],[19.6],[13.8],[18.5],[12.1],['2022-07-26T04:50'],['2022-07-26T20:39'],[14.78],[0.4],[0.4],[0.0],[4.0],[17.0],[35.3],[136],[2.89]
